date	tt	title	year	directors	stars	plot
2013-10-27	tt1259571	The Twilight Saga: New Moon	2009	Chris Weitz	Kristen Stewart,Christina Jastrzembska,Robert Pattinson	After Edward leaves because of an incident involving Bella, Jacob Black becomes her best friend, but what Bella doesn't realize is that Jacob also has a secret that will suddenly change their lives.
2013-11-01	tt1411238	No Strings Attached	2011	Ivan Reitman	Natalie Portman,Ashton Kutcher,Kevin Kline	A guy and girl try to keep their relationship strictly physical, but it's not long before they learn that they want something more.
2013-11-02	tt1424381	Predators	2010	Nimród Antal	Adrien Brody,Topher Grace,Alice Braga	A group of elite warriors parachute into an unfamiliar jungle and are hunted by members of a merciless alien race.
2013-11-03	tt0429493	The A-Team	2010	Joe Carnahan	Liam Neeson,Bradley Cooper,Jessica Biel	A group of Iraq War veterans look to clear their name with the U.S. Military, who suspect the four men of committing a crime for which they were framed.
2013-11-08	tt0976238	Old Dogs	2009	Walt Becker	John Travolta,Robin Williams,Kelly Preston	Two friends and business partners find their lives turned upside-down when strange circumstances lead them to be the temporary guardians of 7-year-old twins.
2013-11-09	tt0316654	Spider-Man 2	2004	Sam Raimi	Tobey Maguire,Kirsten Dunst,James Franco	Peter Parker is beset with troubles in his failing personal life as he battles a former brilliant scientist named Otto Octavius.
2013-11-10	tt0449088	Pirates of the Caribbean: At World's End	2007	Gore Verbinski	Johnny Depp,Geoffrey Rush,Orlando Bloom	Will Turner, Elizabeth Swann, Hector Barbossa, and the crew of the Black Pearl try and rescue Jack from davy jones locker and prepare to fight Lord Cutler Beckett, who controls Davy Jones and the Flying Dutchman.
2013-11-15	tt1000774	Sex and the City	2008	Michael Patrick King	Sarah Jessica Parker,Kim Cattrall,Kristin Davis	Carrie is finally getting married to her Mr. Big, but heartbreak ensues when an observation by Miranda inadvertently causes him to jilt her.
2013-11-16	tt0438488	Terminator Salvation	2009	McG	Christian Bale,Sam Worthington,Moon Bloodgood	As the machines prepare for a final attack, John Connor and a mysterious stranger delve into the heart of Skynet and uncover a terrible secret involving the annihilation of mankind.
2013-11-17	tt1298650	Pirates of the Caribbean: On Stranger Tides	2011	Rob Marshall	Johnny Depp,Penélope Cruz,Geoffrey Rush	Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too.
